Klucz klienta,Klucz Geograficzny,Imię,Nazwisko,Data urodzenia,Stan cywilny,Płeć,Ilość dzieci
24401.0,298.0,Douglas,Rana,1964-01-18 00:00:00,S,M,3.0
24402.0,385.0,Devin,Alexander,1964-07-06 00:00:00,S,M,0.0
24403.0,347.0,Gabriel,Wright,1956-10-15 00:00:00,M,M,3.0
24404.0,302.0,Bryant,Chapman,1934-06-27 00:00:00,M,M,4.0
24405.0,302.0,Tara,Rai,1934-04-19 00:00:00,M,F,4.0
24406.0,307.0,Reginald,Vazquez,1963-03-11 00:00:00,M,M,4.0
24407.0,314.0,Makayla,Peterson,1963-09-16 00:00:00,M,F,5.0
24408.0,314.0,Jordan,Diaz,1963-07-10 00:00:00,M,M,5.0
24409.0,329.0,Jackson,Hernandez,1963-09-22 00:00:00,S,M,4.0
24410.0,648.0,Sara,Sanders,1962-06-24 00:00:00,S,F,1.0
24411.0,300.0,Johnathan,Sanchez,1962-11-23 00:00:00,M,M,1.0
24412.0,312.0,Angelica,Patterson,1962-09-01 00:00:00,S,F,1.0
24413.0,329.0,Nathan,Lewis,1962-02-21 00:00:00,M,M,1.0
24414.0,335.0,Adam,Edwards,1962-05-27 00:00:00,S,M,1.0
24415.0,54.0,Kaylee,Ward,1961-01-14 00:00:00,M,F,5.0
24416.0,548.0,Oscar,Jenkins,1961-07-15 00:00:00,M,M,4.0
24417.0,359.0,Christopher,Harris,1961-07-20 00:00:00,S,M,3.0
24418.0,66.0,Brandon,Garcia,1955-06-20 00:00:00,S,M,2.0
24419.0,299.0,Kaylee,Rivera,1955-01-28 00:00:00,M,F,4.0
24420.0,633.0,Marcus,Price,1955-10-27 00:00:00,M,M,3.0
24421.0,631.0,Seth,Kelly,1955-02-27 00:00:00,M,M,2.0
24422.0,311.0,Thomas,Lal,1935-09-01 00:00:00,M,M,4.0
24423.0,338.0,Alyssa,Harris,1935-02-16 00:00:00,M,F,2.0
24424.0,383.0,Morgan,Russell,1936-01-07 00:00:00,M,F,2.0
24425.0,611.0,Chloe,Ward,1960-02-14 00:00:00,S,F,4.0
24426.0,300.0,Jordan,Russell,1960-11-23 00:00:00,M,M,5.0
24427.0,309.0,Evelyn,Fernandez,1960-12-08 00:00:00,S,F,3.0
24428.0,312.0,Hailey,Price,1960-07-22 00:00:00,M,F,4.0
24429.0,637.0,Isabelle,Hughes,1954-10-24 00:00:00,S,F,2.0
24430.0,311.0,Dalton,Long,1954-01-22 00:00:00,S,M,3.0
24431.0,62.0,Abigail,Morgan,1954-06-13 00:00:00,M,F,2.0
24432.0,358.0,Dalton,Reed,1954-06-13 00:00:00,M,M,2.0
24433.0,338.0,Luis,Simmons,1954-07-06 00:00:00,M,M,3.0
